,names,price,stars,moisturiser,toner,mask,cleanser,exfoliator,oil,serums,hyperpigmantation,sensitive_skin,gluten_free,vegan,oily_skin,dry_skin,day_cream,night,wrinkles,acne,spf,eye_cream,cruelty_free,brand,clusters
0,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,36.0,4.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,paula's choice,8
1,Sunday Riley C.E.O. Afterglow Brightening Vitamin C Cream,67.8,3.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,sunday riley,9
2,Dieux Skin Forever Eye Masks - Dieux Classic,24.0,4.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dieux skin,3
3,Revitalash Advanced Eyelash Conditioner 3.5,126.5,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,revitalash,1
4,Then I Met You Living Cleansing Balm,41.8,4.44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,then i met you,5
5,Supergoop! Unseen Sunscreen SPF 30,16.9,3.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,goop,6
6,Biossance x Oceana: Seas The Day Set,73.45,4.280228519195615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,biossance,1
7,Sunday Riley C.E.O. 15% Vitamin C Brightening Serum (1 fl.,79.1,4.67,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,sunday riley,8
8,Sunday Riley Wake Up With Me Kit,91.5,4.33,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,sunday riley,6
9,LANEIGE Lip Sleeping Mask 20g (Various Options),21.4,4.17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,laneige,1
10,Sunday Riley GOOD GENES Glycolic Acid Treatment 1.7 fl.,140.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sunday riley,8
11,Drunk Elephant Protini Polypeptide Cream,64.4,4.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,drunk elephant,6
12,Déesse Pro Déesse Professional LED Mask Next Generation,1898.4,4.280228519195615,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,déesse pro,7
13,Glow Recipe Watermelon Glow Niacinamide Dew Drops,35.0,4.39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glow recipe,0
14,Charlotte Tilbury Charlotte's Magic Cream Moisturiser,28.2,3.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,charlotte tilbury,6
15,Elemis Pro-Collagen Cleansing Balm 100g,51.9,2.33,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,elemis,4
16,Augustinus Bader The Serum,300.0,4.280228519195615,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,augustinus bader,2
17,Glow Recipe Watermelon Glow Sleeping Mask,46.3,4.06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glow recipe,1
18,Bondi Sands Fresh'n Up Gel Cleanser,11.2,4.280228519195615,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bondi sands,5
19,Bondi Sands Daydream Whipped Moisturiser,11.2,4.280228519195615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bondi sands,6
20,BYOMA Clarifying Starter Kit,16.94,4.280228519195615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,byoma,1
21,ZitSticka KILLA - Clarifying Microdart Patch Kit,30.5,4.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,zitsticka,1
22,Paula's Choice Defense Hydrating Gel-To-Cream Cleanser,25.0,3.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paula's choice,5
23,Wishful Rose Quartz Lift & Glow Peel Off Face Mask,38.4,4.280228519195615,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wishful,1
24,Paula's Choice Skin Perfecting 25% AHA and 2% BHA Exfoliant Peel,44.0,4.280228519195615,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,paula's choice,8
25,Glow Recipe Strawberry Smooth BHA+AHA Salicylic Serum,40.68,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,glow recipe,9
26,Glow Recipe Watermelon Glow PHA + BHA Pore-Tight Toner,15.8,4.42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glow recipe,1
27,Glow Recipe Avocado Ceramide Recovery Serum,42.9,3.83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glow recipe,0
28,Youth To The People Superfood Cleanser,13.5,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,youth to the people,5
29,Youth To The People Triple Peptide and Cactus Oasis Serum,58.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,youth to the people,9
30,Caudalie Instant Detox Mask,27.1,4.92,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,caudalie,3
31,Drunk Elephant C-Tango Multivitamin Eye Cream,62.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,drunk elephant,1
32,Elemis Pro-Collagen Marine Cream SPF30,100.5,4.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,elemis,6
33,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant - Trial Size,12.0,4.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,paula's choice,8
34,Biossance Squalane + Omega Repair (Various Sizes),55.0,4.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,biossance,3
35,BYOMA Hydrating Serum,14.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,byoma,9
36,BYOMA Moisturising Gel Cream,13.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,byoma,3
37,Youth To The People Superfood Air-Whip Moisture Cream,15.8,4.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,youth to the people,6
38,Sunday Riley C.E.O. Vitamin C Rich Hydration Cream 50g,67.8,4.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,sunday riley,8
39,Sunday Riley A+ High-Dose Retinoid Serum 1 fl.,79.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sunday riley,8
40,The Ordinary Glycolic Acid 7% Toning Solution,10.4,4.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary,1
41,The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula,7.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary,0
42,The Ordinary Niacinamide 10% + Zinc 1%,6.8,4.41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the ordinary,0
43,La Roche-Posay Anthelios UVMune 400 Invisible Fluid SPF50+ Sun Cream,20.34,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,la roche-posay,6
44,Thank You Farmer Sun Project Water Sun Cream SPF50,20.3,4.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,thank you farmer,6
45,The INKEY List Hyaluronic Acid Serum,7.8,4.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the inkey list,0
46,Supergoop! Glowscreen SPF 30,16.9,4.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,goop,6
47,The Ordinary AHA 30% + BHA 2% Peeling Solution,8.3,4.52,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the ordinary,1
48,The INKEY List Salicylic Acid Cleanser,12.4,4.53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the inkey list,5
